id,latitude,longitude,distance_m_along_road,side_offset_m,noise_db,note
1,10.000089,76.25,0.0,9.9,70.4,
2,9.999975,76.250762,83.3,-2.8,72.0,
3,10.000117,76.251525,166.7,13.0,71.4,
4,10.000275,76.252288,250.0,30.5,71.5,
5,9.999958,76.25305,333.3,-4.7,74.6,
6,9.999958,76.253812,416.7,-4.7,72.5,
7,10.000285,76.254575,500.0,31.6,66.7,
8,10.000138,76.255338,583.3,15.3,76.2,
9,9.999915,76.2561,666.7,-9.4,73.6,
10,10.000098,76.256862,750.0,10.9,85.4,High near junction A
11,9.999916,76.257625,833.3,-9.3,83.0,High near junction A
12,9.999916,76.258388,916.7,-9.3,71.2,
13,10.000043,76.25915,1000.0,4.8,73.8,
14,9.999655,76.259912,1083.3,-38.3,72.0,
15,9.999689,76.260675,1166.7,-34.5,71.1,
16,9.999899,76.261438,1250.0,-11.2,76.5,
17,9.999817,76.2622,1333.3,-20.3,70.4,
18,10.000057,76.262962,1416.7,6.3,74.2,
19,9.999836,76.263725,1500.0,-18.2,90.4,High near junction B
20,9.999746,76.264488,1583.3,-28.2,86.8,High near junction B
21,10.000264,76.26525,1666.7,29.3,87.5,High near junction B
22,9.999959,76.266012,1750.0,-4.5,68.4,
23,10.000013,76.266775,1833.3,1.4,77.2,
24,9.999743,76.267538,1916.7,-28.5,76.6,
25,9.999902,76.2683,2000.0,-10.9,71.8,
